Model,Versi,Korpus,P@5,MRR@5,P@5 (tanpa heading),MRR@5 (tanpa heading)
gpl-multilingual-e5-base,exp5.1,ID,0.8533,0.9278,0.8533,0.9278
gpl-gte-multilingual-base,exp5.2,ID,0.84,0.9083,0.84,0.9083
gpl-multilingual-e5-base,exp5.3,ID,0.8333,0.9333,0.8333,0.9333
gpl-multilingual-e5-base,exp5.2,ID,0.82,0.9167,0.82,0.9167
gpl-multilingual-e5-base,exp5.4,ID,0.82,0.8817,0.82,0.8817
gpl-gte-multilingual-base,exp5.3,ID,0.8133,0.8983,0.8133,0.8983
gpl-gte-multilingual-base,exp5.4,ID,0.7867,0.9083,0.7867,0.9083
gpl-gte-multilingual-base,exp5.1,ID,0.7733,0.9333,0.7733,0.9333
multilingual-e5-base,B,ID,0.7733,0.8944,0.7733,0.8944
multilingual-e5-base,exp5,ID,0.7733,0.95,0.7733,0.95
gte-multilingual-base,exp5,ID,0.7333,0.8778,0.7333,0.8778
gpl-multilingual-e5-base,exp4.3,ID,0.7267,0.8594,0.7267,0.8594
gpl-multilingual-e5-base,exp5.0,ID,0.72,0.8844,0.72,0.8844
gte-multilingual-base,B,ID,0.7,0.8222,0.7,0.8222
BM25,B,ID,0.6933,0.7611,0.6933,0.7611
gpl-gte-multilingual-base,exp4.3,ID,0.6867,0.85,0.6867,0.85
gpl-gte-multilingual-base,GPL,ID,0.68,0.8611,0.68,0.8611
gpl-gte-multilingual-base,exp5.0,ID,0.6733,0.8233,0.6733,0.8233
gpl-multilingual-e5-base,exp3,ID,0.6667,0.8528,0.6667,0.8528
gpl-multilingual-e5-base,exp4,ID,0.6667,0.7722,0.6667,0.7722
gpl-multilingual-e5-base,exp4.2,ID,0.6667,0.8139,0.6667,0.8139
bge-m3,B,ID,0.6621,0.8506,0.6621,0.8506
gpl-gte-multilingual-base,exp4,ID,0.6533,0.8694,0.6533,0.8694
gpl-gte-multilingual-base,exp3,ID,0.6533,0.8306,0.6533,0.8306
gpl-gte-multilingual-base,exp1,ID,0.6467,0.8556,0.6467,0.8556
gpl-multilingual-e5-base,GPL,ID,0.6467,0.825,0.6467,0.825
gpl-multilingual-e5-base,exp1,ID,0.6467,0.865,0.6467,0.865
gpl-gte-multilingual-base,exp4.2,ID,0.64,0.8778,0.64,0.8778
gpl-multilingual-e5-base,exp4.1,ID,0.62,0.7761,0.62,0.7761
gpl-gte-multilingual-base,exp4.1,ID,0.6133,0.8083,0.6133,0.8083
gpl-multilingual-e5-base,exp2,ID,0.5933,0.8078,0.5933,0.8078
gpl-gte-multilingual-base,exp2,ID,0.56,0.7717,0.56,0.7717
