Model,Versi,Korpus,P@5,MRR@5,P@5 (tanpa heading),MRR@5 (tanpa heading)
gpl-multilingual-e5-base,exp5.0,ID,0.7133,0.8778,0.7133,0.8778
gpl-gte-multilingual-base,exp5.4.2,ID,0.68,0.8567,0.68,0.8567
multilingual-e5-base,exp5,ID,0.68,0.85,0.68,0.85
gpl-gte-multilingual-base,exp5.4.3,ID,0.6733,0.8667,0.6733,0.8667
gpl-multilingual-e5-base,exp4.3,ID,0.6733,0.8139,0.6733,0.8139
gpl-multilingual-e5-base,exp5.2,ID,0.6733,0.8083,0.6733,0.8083
gte-multilingual-base,exp5,ID,0.6667,0.8944,0.6667,0.8944
gpl-multilingual-e5-base,exp5.4.3,ID,0.66,0.84,0.66,0.84
gpl-multilingual-e5-base,exp5.1,ID,0.6533,0.8167,0.6533,0.8167
gpl-gte-multilingual-base,exp5.2,ID,0.6533,0.83,0.6533,0.83
gpl-multilingual-e5-base,exp5.4.2,ID,0.6533,0.7861,0.6533,0.7861
gpl-multilingual-e5-base,exp5.3,ID,0.6467,0.8567,0.6467,0.8567
gpl-gte-multilingual-base,exp5.3,ID,0.6467,0.8917,0.6467,0.8917
gpl-gte-multilingual-base,exp5.0,ID,0.6267,0.8067,0.6267,0.8067
gpl-multilingual-e5-base,exp4.2,ID,0.62,0.7178,0.62,0.7178
gpl-multilingual-e5-base,exp5.4,ID,0.62,0.8133,0.62,0.8133
gpl-multilingual-e5-base,exp5.4.1,ID,0.6,0.8,0.6,0.8
gpl-gte-multilingual-base,exp5.4,ID,0.6,0.84,0.6,0.84
gpl-gte-multilingual-base,exp5.4.1,ID,0.6,0.8067,0.6,0.8067
gte-multilingual-base,B,ID,0.6,0.7622,0.6,0.7622
gpl-gte-multilingual-base,exp4.3,ID,0.5933,0.7511,0.5933,0.7511
gpl-gte-multilingual-base,exp5.1,ID,0.5933,0.8,0.5933,0.8
gpl-multilingual-e5-base,exp3,ID,0.5867,0.7722,0.5867,0.7722
multilingual-e5-base,B,ID,0.5733,0.7494,0.5733,0.7494
gpl-gte-multilingual-base,exp3,ID,0.5667,0.7344,0.5667,0.7344
gpl-gte-multilingual-base,exp4.2,ID,0.5533,0.7667,0.5533,0.7667
gpl-gte-multilingual-base,GPL,ID,0.5467,0.7306,0.5467,0.7306
gpl-multilingual-e5-base,exp1,ID,0.54,0.7817,0.54,0.7817
gpl-gte-multilingual-base,exp4,ID,0.5333,0.7361,0.5333,0.7361
gpl-multilingual-e5-base,exp4.1,ID,0.5333,0.6717,0.5333,0.6717
gpl-gte-multilingual-base,exp1,ID,0.5267,0.7306,0.5267,0.7306
gpl-multilingual-e5-base,exp2,ID,0.5267,0.7228,0.5267,0.7228
gpl-gte-multilingual-base,exp4.1,ID,0.5267,0.7028,0.5267,0.7028
gpl-multilingual-e5-base,exp4,ID,0.5133,0.65,0.5133,0.65
gpl-gte-multilingual-base,exp2,ID,0.5067,0.715,0.5067,0.715
gpl-gte-multilingual-base,exp6,ID,0.5037,0.7531,0.5037,0.7531
gpl-multilingual-e5-base,GPL,ID,0.4933,0.7667,0.4933,0.7667
bge-m3,B,ID,0.4897,0.7224,0.4897,0.7224
BM25,B,ID,0.42,0.5389,0.42,0.5389
