Model,Versi,Korpus,P@5,MRR@5,P@5 (tanpa heading),MRR@5 (tanpa heading)
multilingual-e5-base,B,ID,0.7,0.8694,0.7,0.8694
multilingual-e5-base,exp5,ID,0.6867,0.8733,0.6867,0.8733
gpl-multilingual-e5-base,exp4.3,ID,0.6733,0.8372,0.6733,0.8372
gpl-multilingual-e5-base,exp5.0,ID,0.6733,0.8567,0.6733,0.8567
gpl-multilingual-e5-base,exp5.2,ID,0.66,0.8067,0.66,0.8067
gpl-gte-multilingual-base,exp5.2,ID,0.6533,0.8344,0.6533,0.8344
gpl-multilingual-e5-base,exp5.4.2,ID,0.6467,0.7511,0.6467,0.7511
gpl-gte-multilingual-base,exp5.4.3,ID,0.6467,0.8694,0.6467,0.8694
gte-multilingual-base,B,ID,0.64,0.7611,0.64,0.7611
gpl-gte-multilingual-base,exp5.4.2,ID,0.6333,0.8178,0.6333,0.8178
gpl-multilingual-e5-base,exp5.4,ID,0.6333,0.8317,0.6333,0.8317
gpl-gte-multilingual-base,exp5.0,ID,0.6267,0.7956,0.6267,0.7956
gte-multilingual-base,exp5,ID,0.6267,0.8361,0.6267,0.8361
gpl-multilingual-e5-base,exp5.1,ID,0.6267,0.8167,0.6267,0.8167
gpl-gte-multilingual-base,exp4.3,ID,0.6267,0.8083,0.6267,0.8083
gpl-multilingual-e5-base,exp5.4.1,ID,0.62,0.825,0.62,0.825
gpl-multilingual-e5-base,exp5.3,ID,0.6133,0.8,0.6133,0.8
gpl-multilingual-e5-base,exp3,ID,0.6067,0.7889,0.6067,0.7889
gpl-gte-multilingual-base,exp5.1,ID,0.6067,0.8111,0.6067,0.8111
gpl-multilingual-e5-base,exp4.2,ID,0.6067,0.7778,0.6067,0.7778
gpl-gte-multilingual-base,exp5.3,ID,0.6067,0.8233,0.6067,0.8233
gpl-gte-multilingual-base,GPL,ID,0.6,0.8361,0.6,0.8361
gpl-multilingual-e5-base,exp5.4.3,ID,0.6,0.8178,0.6,0.8178
gpl-gte-multilingual-base,exp5.4.1,ID,0.5867,0.7511,0.5867,0.7511
gpl-gte-multilingual-base,exp5.4,ID,0.5867,0.7744,0.5867,0.7744
bge-m3,B,ID,0.5862,0.75,0.5862,0.75
gpl-gte-multilingual-base,exp4.2,ID,0.58,0.8333,0.58,0.8333
gpl-gte-multilingual-base,exp4,ID,0.58,0.8139,0.58,0.8139
BM25,B,ID,0.58,0.6611,0.58,0.6611
gpl-gte-multilingual-base,exp4.1,ID,0.5667,0.7861,0.5667,0.7861
gpl-gte-multilingual-base,exp1,ID,0.5667,0.8139,0.5667,0.8139
gpl-multilingual-e5-base,exp4.1,ID,0.56,0.7428,0.56,0.7428
gpl-multilingual-e5-base,exp1,ID,0.56,0.7844,0.56,0.7844
gpl-gte-multilingual-base,exp3,ID,0.5467,0.7606,0.5467,0.7606
gpl-multilingual-e5-base,exp4,ID,0.5333,0.6833,0.5333,0.6833
gpl-multilingual-e5-base,exp2,ID,0.5267,0.7606,0.5267,0.7606
gpl-multilingual-e5-base,GPL,ID,0.5133,0.7583,0.5133,0.7583
gpl-gte-multilingual-base,exp6,ID,0.5111,0.8037,0.5111,0.8037
gpl-gte-multilingual-base,exp2,ID,0.4867,0.745,0.4867,0.745
